X,CH1:W,Start,Increment,Average
359,0.472,,3.6,0.3592
360,0.216,,3.61,0.3616
361,0.496,,3.62,0.364
362,0.232,,3.63,0.3632
363,0.496,,3.64,0.36
364,0.216,,3.65,0.3584
365,0.496,,3.66,0.3616
366,0.488,,3.67,0.3608
367,0.24,,3.68,0.336
368,0.24,,3.69,0.3624
369,0.496,,3.7,0.3632
370,0.24,,3.71,0.3616
371,0.488,,3.72,0.3608
372,0.2,,3.73,0.3608
373,0.48,,3.74,0.3616
374,0.248,,3.75,0.3632
375,0.488,,3.76,0.3872
376,0.24,,3.77,0.3616
377,0.504,,3.78,0.3616
378,0.248,,3.79,0.3608
379,0.48,,3.8,0.36
380,0.232,,3.81,0.3624
381,0.488,,3.82,0.3624
382,0.208,,3.83,0.3616
383,0.496,,3.84,0.3656
384,0.488,,3.85,0.3656
385,0.232,,3.86,0.34
386,0.24,,3.87,0.3664
387,0.496,,3.88,0.3664
388,0.24,,3.89,0.368
389,0.504,,3.9,0.3672
390,0.232,,3.91,0.3664
391,0.48,,3.92,0.364
392,0.248,,3.93,0.3656
393,0.496,,3.94,0.3904
394,0.232,,3.95,0.3648
395,0.496,,3.96,0.3912
396,0.24,,3.97,0.3656
397,0.512,,3.98,0.3656
398,0.232,,3.99,0.364
399,0.496,,4,0.3648
400,0.208,,4.01,0.3632
401,0.496,,4.02,0.3672
402,0.496,,4.03,0.3728
403,0.24,,4.04,0.3464
404,0.496,,4.05,0.372
405,0.24,,4.06,0.3456
406,0.24,,4.07,0.3728
407,0.496,,4.08,0.3728
408,0.24,,4.09,0.3728
409,0.48,,4.1,0.3728
410,0.248,,4.11,0.376
411,0.552,,4.12,0.3736
412,0.232,,4.13,0.3672
413,0.496,,4.14,0.368
414,0.232,,4.15,0.368
415,0.512,,4.16,0.3696
416,0.24,,4.17,0.368
417,0.496,,4.18,0.3672
418,0.24,,4.19,0.3672
419,0.512,,4.2,0.3672
420,0.224,,4.21,0.3656
421,0.488,,4.22,0.3672
422,0.24,,4.23,0.3664
423,0.496,,4.24,0.3664
